booktitle,author,key,title
,Tibério S. Caetano,journals/corr/DefazioC14,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation.
,Bhaskar D. Rao,journals/tsp/IsukapalliZR09,Optimum codebook design and average SEP loss analysis of spatially independent and correlated feedback based MISO systems with rectangular QAM constellation.
DISC,Thomas Moscibroda,conf/wdag/LvM15,Local Information in Influence Networks.
International Conference on Computational Science (2),Andrew Rau-Chaplin,conf/iccS/DehneER01,Coarse Grained Parallel On-Line Analytical Processing (OLAP) for Data Mining.
CVPR,Narendra Ahuja,conf/cvpr/MaA98,Dense Shape and Motion from Region Correspondences by Factorization.
,Karsten M. Borgwardt,journals/jmlr/ShervashidzeSLMB11,Weisfeiler-Lehman Graph Kernels.
EMNLP,Jun Zhao 0001,conf/emnlp/ZengLC015,Distant Supervision for Relation Extraction via Piecewise Convolutional Neural Networks.
INFOVIS,Steven F. Roth,conf/infovis/DerthickHMR99,Efficient Multi-Object Dynamic Query Histograms.
,Aram Galstyan,journals/corr/abs-0906-1980,On Maximum a Posteriori Estimation of Hidden Markov Processes
SMC,Xiaolong Wang,conf/smc/FanZNWW08,Semantic Chunk Annotation for questions using Maximum Entropy.
,Shanfeng Zhu,journals/bioinformatics/0002PWZMZ15,MeSHLabeler: improving the accuracy of large-scale MeSH indexing by integrating diverse evidence.
CIKM,Maarten de Rijke,conf/cikm/LiangRWMR14,Time-Aware Rank Aggregation for Microblog Search.
KDD,Eric P. Xing,conf/kdd/ZhangKX15,Dynamic Topic Modeling for Monitoring Market Competition from Online Text and Image Data.
RAISE@ICSE,Tao Xie,conf/icse/Xie13,The synergy of human and artificial intelligence in software engineering.
SEC,Vijayalakshmi Atluri,conf/sec/LorenziUVSA15,Enhancing the Security of Image CAPTCHAs Through Noise Addition.
ICWSM,Prasenjit Mitra,conf/icwsm/ZhaoM07,Event Detection and Visualization for Social Text Streams.
,Thomas G. Dietterich,journals/neco/Dietterich98,Approximate Statistical Test For Comparing Supervised Classification Learning Algorithms.
Int. CMG Conference,Darrell D. E. Long,conf/cmg/GibsonML98,Long-term File System Activity and Inter-reference Periods.
WWW,Rodrigo de Oliveira,conf/www/CarrascalRECO13,Your browsing behavior for a big mac: economics of personal information online.
VLDB,Jim Gray,conf/vldb/ZellerG90,An Adaptive Hash Join Algorithm for Multiuser Environments.
PIMRC,Wai-Choong Wong,conf/pimrc/ZhangCW11,Precoder design for improving the performance of MUSIC-based angle-of-arrival estimator.
ICCAD,Jon A. Solworth,conf/iccad/QuayleS88,Expanded rectangles: a new VLSI data structure.
ISMIS,Ning Zhong,conf/ismis/YaoLZ03,"Granular Computing Based on Rough Sets, Quotient Space Theory, and Belief Functions."
,Pier Luca Lanzi,journals/ec/Lanzi99,An Analysis of Generalization in the XCS Classifier System.
NIPS,Martin I. Sereno,conf/nips/Sereno88,Learning the Solution to the Aperture Problem for Pattern Motion with a Hebb Rule.
SIGGRAPH Courses,Randall Davis,conf/siggraph/VeselovaD06,Perceptually based learning of shape descriptions for sketch recognition.
,Azriel Rosenfeld,journals/pami/MontanvertMR91,Hierarchical Image Analysis Using Irregular Tessellations.
,Tomás Skopal,journals/is/LokocMCS14,On indexing metric spaces using cut-regions.
CIARP,Robert P. W. Duin,conf/ciarp/KimD10,On Improving Dissimilarity-Based Classifications Using a Statistical Similarity Measure.
ICPR,Anil K. Jain,conf/icpr/FengJ08,Filtering large fingerprint database for latent matching.
Applied Graph Theory in Computer Vision and Pattern Recognition,Mario Vento,series/sci/ConteFSV07,How and Why Pattern Recognition and Computer Vision Applications Use Graphs.
SIGIR,Arjen P. de Vries,conf/sigir/HeHV12,Combining implicit and explicit topic representations for result diversification.
MICCAI,William M. Wells III,conf/miccai/TimonerGKW01,Fast Linear Elastic Matching Without Landmarks.
,Ji-Rong Wen,journals/ijon/LiuSZW16,Multi-view ensemble learning for dementia diagnosis from neuroimaging: An artificial neural network approach.
,Yoav Goldberg,journals/corr/Goldberg15c,A Primer on Neural Network Models for Natural Language Processing.
Encyclopedia of Machine Learning,Lise Getoor,reference/ml/BhattacharyaG10,Entity Resolution.
SIGMOD Conference,Jennifer Widom,conf/sigmod/LabioZWGGW97,The WHIPS Prototype for Data Warehouse Creation and Maintenance.
